post_id,date,category,title,url,text_len,image_count,is_algo_explainer,algo_level_hint,has_returns_record,has_summary_record
1,2025-05-04T00:31:55+09:00,매출 폭발 마케팅 실전기,"하루 20개 노출, 카페 키워드 설정법 3가지",https://mingogogo.tistory.com/1,1745,2,N,,N,N
4,2025-05-04T04:12:03+09:00,부업으로 월100만 프로젝트,하루 1시간 부업 해서 꾸준한 부 수입 만들기.,https://mingogogo.tistory.com/4,1573,4,N,,N,N
5,2025-05-04T04:43:52+09:00,부업으로 월100만 프로젝트,"하루 1시간, 당장 돈 되는 부업 5가지",https://mingogogo.tistory.com/5,1954,4,N,,N,N
6,2025-05-04T05:07:19+09:00,부업으로 월100만 프로젝트,"당근마켓 월 50만, 이렇게 5단계로 만듭니다.",https://mingogogo.tistory.com/6,2283,3,N,,N,N
7,2025-05-04T05:37:03+09:00,부업으로 월100만 프로젝트,지금 당근 시작해야 하는 3가지 이유,https://mingogogo.tistory.com/7,1633,3,N,,N,N
10,2025-05-04T18:27:13+09:00,매출 폭발 마케팅 실전기,"블로그 상위노출,  안되는데 왜일까?",https://mingogogo.tistory.com/10,1888,4,N,,N,N
11,2025-05-05T10:03:30+09:00,코인 프로그램 인증,쓰레드 운영하며 느낀 18가지 핵심,https://mingogogo.tistory.com/11,1421,3,N,,N,N
12,2025-05-10T00:27:40+09:00,매출 폭발 마케팅 실전기,고깃집 마케팅 방법 이렇게 해보자~!,https://mingogogo.tistory.com/12,2244,2,N,,N,N
14,2025-05-10T20:23:59+09:00,매출 폭발 마케팅 실전기,소상공인 마케팅 매출 대박 나는 비결,https://mingogogo.tistory.com/14,1355,2,N,,N,N
15,2025-05-10T20:39:53+09:00,매출 폭발 마케팅 실전기,브랜딩 왜 해야될까? (장사나 SNS 하시는분들 필독),https://mingogogo.tistory.com/15,774,2,N,,N,N
16,2025-05-11T00:36:24+09:00,매출 폭발 마케팅 실전기,‘가치 중심 판매법’ 이걸로 매출이 달라진다 1부,https://mingogogo.tistory.com/16,1501,2,N,,N,N
17,2025-05-11T00:45:20+09:00,매출 폭발 마케팅 실전기,고객이 알아보게 만드는 ‘가치 포장법’ 2부,https://mingogogo.tistory.com/17,1323,2,N,,N,N
18,2025-05-11T00:58:51+09:00,매출 폭발 마케팅 실전기,오래가는 브랜드의 공통점 (가치전달 )  3부,https://mingogogo.tistory.com/18,1018,3,N,,N,N
19,2025-05-11T02:21:29+09:00,매출 폭발 마케팅 실전기,불황에도 돈 버는 사람들의 진짜 비결?,https://mingogogo.tistory.com/19,1157,1,N,,N,N
20,2025-05-11T11:35:10+09:00,카테고리 없음,"창업지원금, 정부지원  ,조건확인""신청방법""",https://mingogogo.tistory.com/20,1196,3,N,,N,N
21,2025-05-12T21:51:39+09:00,매출 폭발 마케팅 실전기,"소상공인 동네 홍보 전략 ""당근 마켓"" 무료 홍보",https://mingogogo.tistory.com/21,1628,5,N,,N,N
22,2025-05-12T22:11:09+09:00,매출 폭발 마케팅 실전기,본능 자극하는 10가지 심리 코드 (예시 포함),https://mingogogo.tistory.com/22,1266,3,N,,N,N
23,2025-05-14T22:15:20+09:00,매출 폭발 마케팅 실전기,"매출 만드는 마케팅, 3가지",https://mingogogo.tistory.com/23,1948,3,N,,N,N
24,2025-05-16T20:42:01+09:00,매출 폭발 마케팅 실전기,"치킨집 ""홍보방법"" ""홍보전략"" 7가지!!",https://mingogogo.tistory.com/24,891,3,N,,N,N
25,2025-05-17T00:15:02+09:00,매출 폭발 마케팅 실전기,"옷가게, 마케팅 온라인 홍보로 매출 올리는 방법.",https://mingogogo.tistory.com/25,1219,3,N,,N,N
26,2025-05-17T10:28:41+09:00,매출 폭발 마케팅 실전기,검색으로 시작되는 마케팅 구조 고객은 왜 검색만 믿을까?,https://mingogogo.tistory.com/26,1222,4,N,,N,N
27,2025-05-17T21:55:30+09:00,부자 되는 방법,부자 되는 방법 부를 쌓는 17가지 패턴,https://mingogogo.tistory.com/27,1675,4,N,,N,N
28,2025-05-18T00:59:21+09:00,부업으로 월100만 프로젝트,"부업 ""월50만원"" 가능합니다 ""투잡커넥트""!!",https://mingogogo.tistory.com/28,1138,4,N,,N,N
29,2025-05-19T21:47:04+09:00,매출 폭발 마케팅 실전기,고깃집 선택할 때 꼭 확인해야 할 7가지 기준,https://mingogogo.tistory.com/29,1318,4,N,,N,N
30,2025-05-23T00:41:41+09:00,매출 폭발 마케팅 실전기,무료 배송이 더 비싼 이유/판매자가 배송비로 돈 버는 법,https://mingogogo.tistory.com/30,1015,2,N,,N,N
31,2025-06-02T22:26:23+09:00,카테고리 없음,"인생 철학 ""이하영 작가"" 요약",https://mingogogo.tistory.com/31,45,0,N,,N,N
44,2025-06-20T12:06:25+09:00,일회용 그릴 파밍 제작 판매,그릴 개발완료,https://mingogogo.tistory.com/44,0,5,N,,N,N
46,2025-07-06T16:32:56+09:00,일회용 그릴 파밍 제작 판매,민지네 그릴 특허제품 장점!,https://mingogogo.tistory.com/46,2188,6,N,,N,N
53,2025-07-14T05:54:33+09:00,코인 프로그램 인증,코인 프로그램 테스트 결과 10시간 경과,https://mingogogo.tistory.com/53,575,1,N,,N,N
56,2025-07-17T04:32:52+09:00,코인추천,7월17일 코인 추천 리스트,https://mingogogo.tistory.com/56,41,5,N,,N,N
58,2025-07-30T21:20:49+09:00,일회용 그릴 파밍 제작 판매,일회용인데 재사용 가능? 민지네그릴 후기,https://mingogogo.tistory.com/58,964,5,N,,N,N
59,2025-08-02T01:36:13+09:00,코인추천,업비트 코인 메타 정리,https://mingogogo.tistory.com/59,1809,0,N,,N,N
60,2025-08-02T04:04:51+09:00,코인 강의(공부하기),업비트 원화 마켓 코인 테마별 정리,https://mingogogo.tistory.com/60,2519,0,N,,N,N
61,2025-08-02T07:12:40+09:00,코인추천,AI코인 정리 코인테마 공부하기!,https://mingogogo.tistory.com/61,2893,0,N,,N,N
64,2025-09-01T20:47:17+09:00,코인 프로그램 유료버전,실시간 코인분석기,https://mingogogo.tistory.com/64,2751,3,N,,N,N
65,2025-09-03T01:37:39+09:00,부자 되는 방법,내가 사는이유. 내가 성공할수 밖에 없는이유.,https://mingogogo.tistory.com/65,2181,2,N,,N,N
66,2025-09-04T12:16:54+09:00,카테고리 없음,이더리움 850억 규모 매각 관점 시나리오2가지,https://mingogogo.tistory.com/66,2709,0,N,,N,N
67,2025-09-05T22:17:39+09:00,코인 프로그램 유료버전,파밍 코인분석기 사용법 가이드,https://mingogogo.tistory.com/67,1393,4,N,,N,N
68,2025-09-06T15:02:10+09:00,코인 프로그램 유료버전,단타 프로그램 백프로밍(파밍) 제작,https://mingogogo.tistory.com/68,1785,5,N,,N,N
71,2025-09-08T20:36:55+09:00,코인 강의(공부하기),비트코인 이더리움 알트코인 상관관계,https://mingogogo.tistory.com/71,1145,4,N,,N,N
75,2025-09-10T02:14:50+09:00,코인 프로그램 무료 버전,업비트 코인 단타 프로그램 나눔 (비트코인 알트코인분석),https://mingogogo.tistory.com/75,1671,2,N,,N,N
76,2025-09-10T16:53:44+09:00,코인 강의(공부하기),코인 주식 보조지표 강의,https://mingogogo.tistory.com/76,7486,0,N,,N,N
77,2025-09-10T18:31:11+09:00,코인 프로그램 유료버전,코인 분석기 (파밍:서교민)제작,https://mingogogo.tistory.com/77,1615,3,N,,N,N
78,2025-09-13T17:25:04+09:00,코인 프로그램 유료버전,업비트 코인 분석기 완벽 사용 설명서 비트코인 알트코인 분석,https://mingogogo.tistory.com/78,5534,5,Y,direct,N,N
79,2025-09-15T01:23:52+09:00,코인 프로그램 인증,암호화폐(비트코인 알트코인) 분석기 (파동 분석 봇 v11.0): 당신의 24시간 AI 코인 분석가,https://mingogogo.tistory.com/79,3526,4,N,weak,N,N
80,2025-09-16T23:52:39+09:00,코인 프로그램 유료버전,"PAMING 급등코인분석 시스템, 무엇이 특별한가",https://mingogogo.tistory.com/80,2419,6,Y,direct,N,N
81,2025-09-17T00:01:33+09:00,코인 프로그램 유료버전,"업비트 단타 트레이더를 위한 강력한 분석 툴, '파밍 분석기",https://mingogogo.tistory.com/81,3433,2,Y,direct,N,N
83,2025-09-20T16:57:43+09:00,코인 강의(공부하기),코인강의,https://mingogogo.tistory.com/83,5675,0,N,,N,N
84,2025-09-20T17:20:04+09:00,코인 강의(공부하기),RCI 보조지표 강의,https://mingogogo.tistory.com/84,2540,0,N,,N,N
85,2025-09-23T00:35:25+09:00,카테고리 없음,코인분석기 시각화  업비트 빗썸 바이낸스 제작가능,https://mingogogo.tistory.com/85,2388,5,N,,N,N
86,2025-09-24T18:35:50+09:00,카테고리 없음,코인 도박성 테스트?,https://mingogogo.tistory.com/86,332,0,N,,N,N
87,2025-09-24T18:38:53+09:00,코인 강의(공부하기)/파밍놀이터,심리테스트,https://mingogogo.tistory.com/87,321,0,N,,N,N
89,2025-09-24T18:41:59+09:00,코인 강의(공부하기)/파밍놀이터,술자리게임,https://mingogogo.tistory.com/89,1873,0,N,,N,N
90,2025-09-24T18:43:32+09:00,코인 강의(공부하기)/파밍놀이터,전문 심리분석,https://mingogogo.tistory.com/90,283,0,N,,N,N
91,2025-09-24T18:45:58+09:00,코인 강의(공부하기)/파밍놀이터,아이 중학생 어른 심리,https://mingogogo.tistory.com/91,174,0,N,,N,N
92,2025-09-24T18:48:14+09:00,코인 강의(공부하기)/파밍놀이터,내가 바라는 이상형은,https://mingogogo.tistory.com/92,257,0,N,,N,N
94,2025-09-24T20:12:37+09:00,코인 강의(공부하기),유엑스링크 해킹사건정리,https://mingogogo.tistory.com/94,1483,0,N,,N,N
95,2025-09-24T20:48:46+09:00,코인이슈,비트코인 장기 방향성,https://mingogogo.tistory.com/95,1993,0,N,,N,N
96,2025-09-24T20:52:47+09:00,코인 강의(공부하기),RCI스퀴즈란?? 완전정복 !!,https://mingogogo.tistory.com/96,2073,0,N,,N,N
97,2025-09-24T21:00:22+09:00,코인 강의(공부하기),암호화폐(코인)기술적분석 가이드,https://mingogogo.tistory.com/97,1624,0,N,,N,N
98,2025-09-24T21:05:51+09:00,코인 강의(공부하기),캔들패턴에 대해서 알아보자.캔들의 심리,https://mingogogo.tistory.com/98,1247,0,N,,N,N
99,2025-09-24T21:11:30+09:00,코인 강의(공부하기),차트 패턴에 대해서 알아보자.,https://mingogogo.tistory.com/99,601,0,N,,N,N
100,2025-09-24T21:39:35+09:00,눌림코인 저장공간,9월24일 눌림코인 저장공간 (프로그램사용),https://mingogogo.tistory.com/100,405,19,N,,N,N
101,2025-09-25T18:10:00+09:00,코인 강의(공부하기),코인 주식 캔들 기본개념,https://mingogogo.tistory.com/101,4120,0,N,,N,N
102,2025-09-25T18:23:53+09:00,코인 강의(공부하기),캔들기본편,https://mingogogo.tistory.com/102,1325,0,N,,N,N
103,2025-09-27T01:48:36+09:00,코인 프로그램 유료버전,코인분석 시스템,https://mingogogo.tistory.com/103,2856,7,N,,N,N
104,2025-09-27T02:23:03+09:00,코인분석,9월 27일 오전 2시 15분 유엑스 링크 코인분석,https://mingogogo.tistory.com/104,149,4,N,,N,N
105,2025-09-28T20:08:12+09:00,코인 강의(공부하기)/파밍놀이터,방송중 음성 출력시스템 텍스트 음성출,https://mingogogo.tistory.com/105,1971,2,N,,N,N
106,2025-09-29T01:08:06+09:00,눌림코인 저장공간,9월 29일 눌림코인 리스트,https://mingogogo.tistory.com/106,117,4,N,,N,N
107,2025-10-01T18:30:13+09:00,코인 프로그램 무료 버전,통합시장 추세분석기 제작:파밍,https://mingogogo.tistory.com/107,3782,3,N,,N,N
108,2025-10-01T18:49:07+09:00,코인 강의(공부하기),텔레그램 봇 + 알트평균 그래프 매수매도 방법,https://mingogogo.tistory.com/108,3393,2,N,,N,N
109,2025-10-06T09:54:55+09:00,코인 프로그램 유료버전,"""FARMING ANALYZER + WAVE""",https://mingogogo.tistory.com/109,2593,4,Y,direct,N,N
110,2025-10-07T08:08:51+09:00,카테고리 없음,오픈톡방 링크,https://mingogogo.tistory.com/110,182,1,N,,N,N
111,2025-10-07T08:12:14+09:00,카테고리 없음,10월7일 코인 추천리스트,https://mingogogo.tistory.com/111,14,10,N,,N,N
115,2025-10-14T04:22:11+09:00,코인 프로그램 유료버전,코인 파동분석기,https://mingogogo.tistory.com/115,1333,5,N,,N,N
116,2025-10-14T04:24:50+09:00,코인분석,10월14일 전체 코인분석 눌림코인,https://mingogogo.tistory.com/116,0,1,N,,N,N
117,2025-10-16T00:45:03+09:00,카테고리 없음,몸은 마음의 도구다,https://mingogogo.tistory.com/117,1006,0,N,,N,N
118,2025-10-18T04:37:00+09:00,코인 프로그램 유료버전,"폭발 직전 코인만 찾아내는 비장의 무기, '파밍 분석기' 완벽 가이드",https://mingogogo.tistory.com/118,1615,3,N,,N,N
121,2025-10-22T17:07:59+09:00,코인 강의(공부하기),보조지표에 대한 이해 (초보자용),https://mingogogo.tistory.com/121,29853,0,N,,N,N
122,2025-10-22T17:29:29+09:00,코인 강의(공부하기),"크립토에셋(암호화폐,코인)",https://mingogogo.tistory.com/122,12560,0,N,,N,N
123,2025-10-22T17:35:31+09:00,코인 강의(공부하기),코인의 역사 이해하기,https://mingogogo.tistory.com/123,4750,0,N,,N,N
124,2025-10-22T17:47:04+09:00,코인 강의(공부하기),돈복남 코인유튜버 코인서적 정리 요약,https://mingogogo.tistory.com/124,11665,0,N,,N,N
125,2025-10-25T02:55:56+09:00,코인 강의(공부하기),"코인,주식 추세선 이해하기",https://mingogogo.tistory.com/125,8865,0,N,,N,N
126,2025-10-25T03:08:33+09:00,코인 강의(공부하기),코인패턴 강의 (파밍제작),https://mingogogo.tistory.com/126,11685,0,N,,N,N
127,2025-10-30T18:02:23+09:00,코인 강의(공부하기),원화 가치 하락시 투자방법.,https://mingogogo.tistory.com/127,5323,0,N,,N,N
128,2025-10-31T01:50:50+09:00,코인 강의(공부하기)/파밍놀이터,학생(고객) 관리 프로그램  관공서 학원 어린이집 등등,https://mingogogo.tistory.com/128,2725,5,N,,N,N
129,2025-11-01T22:25:42+09:00,코인분석,디커플링 10월27일 4일뒤결과,https://mingogogo.tistory.com/129,35,5,N,,N,N
130,2025-11-01T22:28:15+09:00,카테고리 없음,11월1일 디커플링 분석 바닥권분석,https://mingogogo.tistory.com/130,0,10,N,,N,N
131,2025-11-02T09:52:39+09:00,코인분석,11-2일 코인 디커플링 분석기 바닥권 분석기,https://mingogogo.tistory.com/131,15,4,N,,N,N
132,2025-11-02T10:10:04+09:00,코인분석,11월2일 신규 프로그램 테스트,https://mingogogo.tistory.com/132,0,2,N,,N,N
133,2025-11-02T18:44:09+09:00,코인분석,11-2일 오후 6시42분 디커플링 리스트,https://mingogogo.tistory.com/133,0,4,N,,N,N
