post_id,title,category,url,text_len,level,direct_reason,guide,manual,principle,mechanism,weights,engine,cross_val,signal,timeframe,sync,score,buy,sell,risk,crash_warn,indicator_hits
79,암호화폐(비트코인 알트코인) 분석기 (파동 분석 봇 v11.0): 당신의 24시간 AI 코인 분석가,코인 프로그램 인증,https://mingogogo.tistory.com/79,3526,weak,,0,0,0,0,0,3,0,0,1,0,0,7,2,0,0,2
258,2년치 차트 역사를 실시간으로 해부하는 초정밀 분석 엔진,코인 프로그램 유료버전,https://mingogogo.tistory.com/258,2805,weak,,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
241,코인분석 프로그램,코인 프로그램 유료버전,https://mingogogo.tistory.com/241,2284,weak,,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,9
182,파밍 코인분석기 후기 [데이터 분석] 급등 신호 포착!,코인 프로그램 인증,https://mingogogo.tistory.com/182,1829,weak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,11월 13일 오전 7시 58분 추천리스트 수익율 체크,수익율 인증공간 날자별 최대 3일후까지,https://mingogogo.tistory.com/216,1138,weak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,11월 11일 추천 코인 리스트 수익율 체크 (과거초기 분석 프로그램),코인 프로그램 인증,https://mingogogo.tistory.com/217,1136,weak,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
293,텔레그램 급락 경고 시스템 분석 결과,코인 프로그램 인증,https://mingogogo.tistory.com/293,1530,semi,,0,0,0,0,0,0,0,0,0,0,6,1,0,1,3,0
262,코인분석기 3종,코인 프로그램 유료버전,https://mingogogo.tistory.com/262,14686,direct,principle/weights/mechanism,0,0,0,0,17,0,0,0,7,0,39,58,52,2,0,67
78,업비트 코인 분석기 완벽 사용 설명서 비트코인 알트코인 분석,코인 프로그램 유료버전,https://mingogogo.tistory.com/78,5534,direct,guide/manual|principle/weights/mechanism,0,4,1,0,1,0,0,0,0,0,6,1,2,1,0,9
263,코인분석기 3종 프로그램 사용가이드,코인 프로그램 유료버전,https://mingogogo.tistory.com/263,4684,direct,guide/manual|principle/weights/mechanism,1,0,0,0,10,0,0,0,3,0,10,21,24,0,0,24
81,"업비트 단타 트레이더를 위한 강력한 분석 툴, '파밍 분석기",코인 프로그램 유료버전,https://mingogogo.tistory.com/81,3433,direct,guide/manual|principle/weights/mechanism,0,1,0,0,4,0,0,0,0,3,17,7,7,0,0,7
109,"""FARMING ANALYZER + WAVE""",코인 프로그램 유료버전,https://mingogogo.tistory.com/109,2593,direct,principle/weights/mechanism,0,0,0,1,3,0,0,0,1,0,7,6,1,0,0,5
80,"PAMING 급등코인분석 시스템, 무엇이 특별한가",코인 프로그램 유료버전,https://mingogogo.tistory.com/80,2419,direct,principle/weights/mechanism,0,0,0,0,1,0,0,0,1,0,7,4,3,0,0,4
288,코인추천 시스템+분석 프로그램2종,코인 프로그램 유료버전,https://mingogogo.tistory.com/288,2246,direct,principle/weights/mechanism|cross-val or timeframe-sync,0,0,0,0,2,0,1,0,0,0,2,3,3,3,0,1
308,4월13일 추천. 코인리스트,인증 저장공간,https://mingogogo.tistory.com/308,1522,direct,engine+score/signal|cross-val or timeframe-sync,0,0,0,0,0,1,1,2,1,1,5,7,2,0,0,0
