timestamp,open,high,low,close,volume
1743134400000,92.41,92.47,90.42,91.04,24365.4
1743138000000,91.04,91.04,89.56,89.79,17138.9
1743141600000,89.79,90.28,88.6,88.71,21617.6
1743145200000,88.71,89.04,88.09,88.34,26945.0
1743148800000,88.34,88.84,88.17,88.72,9705.7
1743152400000,88.72,89.04,88.27,88.27,9014.4
1743156000000,88.27,88.48,87.4,87.53,21422.8
1743159600000,87.53,88.24,87.29,88.18,91619.7
1743163200000,88.18,88.37,87.2,87.5,19699.3
1743166800000,87.5,88.25,87.25,87.39,13868.5
1743170400000,87.39,87.7,86.71,87.37,14982.7
1743174000000,87.37,87.79,87.07,87.27,2600.3
1743177600000,87.27,87.55,86.24,86.37,6943.3
1743181200000,86.37,86.83,85.92,86.82,8841.2
1743184800000,86.82,86.94,86.45,86.65,10841.8
1743188400000,86.65,86.81,86.12,86.32,1760.2
1743192000000,86.32,87.05,86.23,86.23,4928.6
1743195600000,86.23,86.57,85.69,86.51,6332.6
1743199200000,86.51,87.38,86.47,87.36,3326.1
1743202800000,87.36,87.49,87.07,87.31,2153.6
1743206400000,87.31,88.02,87.2,87.55,3485.9
1743210000000,87.55,87.82,87.09,87.43,3455.7
1743213600000,87.43,87.72,86.5,86.52,2040.6
1743217200000,86.52,87.51,85.9,87.45,4471.6
1743220800000,87.45,87.57,86.99,87.55,1284.9
1743224400000,87.55,87.63,86.73,86.88,1004.9
1743228000000,86.88,86.88,85.94,86.3,2740.8
1743231600000,86.3,86.57,85.67,86.12,2490.9
1743235200000,86.12,86.89,86.0,86.89,1622.7
1743238800000,86.89,87.02,85.52,86.29,6164.9
1743242400000,86.29,86.42,85.63,85.76,4317.2
1743246000000,85.76,86.1,84.92,85.7,7729.0
1743249600000,85.7,86.46,85.59,86.19,5864.2
1743253200000,86.19,86.94,86.16,86.87,3104.4
1743256800000,86.87,86.99,85.93,86.16,5283.1
1743260400000,86.16,86.57,85.98,86.03,2593.6
1743264000000,86.03,86.28,85.3,85.43,3747.3
1743267600000,85.43,85.77,84.09,85.07,13204.7
1743271200000,85.07,85.75,84.94,85.41,1702.1
1743274800000,85.41,85.71,85.0,85.71,2938.4
1743278400000,85.71,85.72,84.45,84.59,2768.8
1743282000000,84.59,85.46,84.56,84.9,2024.0
1743285600000,84.9,85.05,84.46,84.8,875.2
1743289200000,84.8,85.47,84.54,85.38,1066.1
1743292800000,85.38,85.64,84.67,85.38,2202.1
1743296400000,85.38,86.24,85.32,85.92,2669.1
1743300000000,85.92,86.71,85.92,86.46,2295.0
1743303600000,86.46,86.76,86.08,86.21,2192.6
1743307200000,86.21,86.69,86.17,86.41,1238.6
1743310800000,86.41,86.72,86.13,86.21,2056.1
1743314400000,86.21,86.43,85.78,86.3,1840.2
1743318000000,86.3,86.54,85.96,86.1,1032.1
1743321600000,86.1,86.44,86.1,86.43,661.0
1743325200000,86.43,86.46,86.19,86.42,975.2
1743328800000,86.42,86.71,85.87,86.03,2093.6
1743332400000,86.03,86.3,85.73,85.94,1945.6
1743336000000,85.94,86.2,85.71,86.0,1416.6
1743339600000,86.0,86.06,85.1,85.22,5717.9
1743343200000,85.22,85.99,84.98,85.95,3360.5
1743346800000,85.95,86.64,85.95,86.37,2414.3
1743350400000,86.37,86.77,85.56,85.83,4599.1
1743354000000,85.83,86.31,85.6,85.94,3191.4
1743357600000,85.94,86.55,85.94,86.52,2374.1
1743361200000,86.52,86.6,86.28,86.39,2874.4
1743364800000,86.39,86.52,86.12,86.24,520.0
1743368400000,86.24,86.5,85.7,85.89,1666.9
1743372000000,85.89,86.33,84.73,86.12,4850.3
1743375600000,86.12,86.17,85.42,86.05,1614.3
1743379200000,86.05,86.21,84.42,85.08,4477.5
1743382800000,85.08,86.05,84.93,86.02,2374.1
1743386400000,86.02,86.04,85.4,85.56,1974.5
1743390000000,85.56,85.7,84.68,84.76,1835.4
1743393600000,84.76,85.34,84.5,85.25,3634.0
1743397200000,85.25,85.71,85.0,85.04,1733.7
1743400800000,85.04,85.21,84.18,84.52,2885.6
1743404400000,84.52,84.85,83.3,83.66,8367.5
1743408000000,83.66,84.32,82.78,82.89,7395.5
1743411600000,82.89,83.28,80.9,81.36,16085.5
1743415200000,81.36,82.37,80.72,82.13,5494.8
1743418800000,82.13,82.49,81.41,82.15,8377.1
1743422400000,82.15,83.53,81.64,83.06,8478.9
1743426000000,83.06,83.17,81.06,81.81,8122.2
1743429600000,81.81,83.2,81.81,82.99,6105.9
1743433200000,82.99,83.68,82.85,83.18,6301.4
1743436800000,83.18,83.54,82.91,83.19,1860.3
1743440400000,83.19,83.65,82.55,82.99,2054.1
1743444000000,82.99,83.74,82.87,83.55,4571.3
1743447600000,83.55,84.23,83.16,83.21,1937.8
1743451200000,83.21,83.92,83.21,83.34,3440.7
1743454800000,83.34,83.98,83.08,83.08,1015.3
1743458400000,83.08,83.2,82.75,83.06,1445.3
1743462000000,83.06,83.56,82.79,82.93,1199.7
1743465600000,82.93,83.42,82.83,83.26,1914.5
1743469200000,83.26,83.37,82.84,82.98,1262.9
1743472800000,82.98,83.93,82.98,83.89,2227.4
1743476400000,83.89,84.09,83.58,83.68,1766.6
1743480000000,83.68,84.09,83.58,83.99,2705.5
1743483600000,83.99,84.64,83.94,84.08,2545.0
1743487200000,84.08,84.77,83.94,84.54,2483.9
1743490800000,84.54,84.72,84.19,84.21,1518.4
1743494400000,84.21,85.56,84.21,85.48,3826.9
1743498000000,85.48,85.71,85.07,85.12,5655.5
1743501600000,85.12,85.15,84.23,84.23,5799.1
1743505200000,84.23,84.48,83.89,84.11,3453.7
1743508800000,84.11,84.72,84.09,84.37,2805.9
1743512400000,84.37,84.98,84.05,84.8,4673.4
1743516000000,84.8,84.97,83.41,84.78,12687.5
1743519600000,84.78,85.86,84.76,85.62,10152.6
1743523200000,85.62,85.83,84.83,85.27,2750.1
1743526800000,85.27,85.27,84.87,84.97,3257.1
1743530400000,84.97,85.07,84.47,84.69,2494.5
1743534000000,84.69,84.84,84.51,84.67,1251.3
1743537600000,84.67,84.68,84.0,84.6,9238.2
1743541200000,84.6,84.82,84.5,84.72,7427.8
1743544800000,84.72,85.19,84.5,84.76,1282.8
1743548400000,84.76,84.94,84.31,84.44,6444.9
1743552000000,84.44,84.46,83.56,83.57,4459.3
